size,0.0,0.25,0.5,0.75,0.95,0.99,0.997,1.0,-1.0
1000,118918,115254,118071,122725,129099,132466,131150,116894,96830,
10000,1490817,1483060,1317688,1294886,1300425,1311166,1237982,1267641,1217809,
50000,8445782,7945255,7529825,7189812,6961128,7035172,6997060,6938574,6816403,
100000,18074430,17482696,17017744,16176305,15575905,15929009,15707305,18030159,14961584,
500000,130546809,115104335,102995546,101735618,90345214,89913280,88833126,79230605,83445830,
1000000,244510662,234906347,220409195,199818585,181371441,181525331,180413916,157618945,168114660,
