size,0.0,0.25,0.5,0.75,0.95,0.99,0.997,1.0,-1.0
1000,58465,59996,72157,114339,139213,142831,135454,125652,97520,
10000,739570,780465,857366,1313316,1419310,1443203,1375058,1363821,1286422,
50000,4008731,3970224,4496945,6921316,7779319,7894150,7682349,7763620,7466193,
100000,8069523,8244058,9362735,14957075,17327666,17804725,17546950,20293882,16453770,
500000,47806138,44686621,46509360,87615397,101679828,100378402,100558604,89656081,92864566,
1000000,87542827,87463132,90022733,163944766,202688439,203492180,203168960,180031448,187272691,
